,Unnamed: 0,name,genre_action,genre_adventure,genre_arcade,genre_board games,genre_card,genre_casual,genre_educational,genre_family,genre_fighting,genre_indie,genre_massively multiplayer,genre_platformer,genre_puzzle,genre_rpg,genre_racing,genre_shooter,genre_simulation,genre_sports,genre_strategy,tag_local multiplayer,tag_fantasy,tag_violent,tag_free to play,tag_anime,tag_online multiplayer,tag_great soundtrack,tag_split screen,tag_pixel graphics,tag_story rich,tag_vr,tag_co-op,tag_horror,tag_atmospheric,tag_early access,tag_partial controller support,tag_2d,tag_multiplayer,tag_full controller support,tag_steam cloud,tag_singleplayer,platform_3do,platform_atari,platform_commodore / amiga,platform_sega,platform_neo geo,platform_web,platform_linux,platform_android,platform_nintendo,platform_apple macintosh,platform_ios,platform_xbox,platform_playstation,platform_pc,background_image,esrb_rating.id,owners,price,total_reviews,review_score,released_month,1r,1g,1b,2r,2g,2b,3r,3g,3b,4r,4g,4b,5r,5g,5b
1,1,Journey,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,https://media.rawg.io/media/games/baf/baf9905270314e07e6850cffdb51df41.jpg,0,"200,000 .. 500,000",1499,18525,0.949041835,3,252.2251969,236.719685,187.5700787,202.03207,141.3498542,71.58017493,249.9659091,209.1844406,131.0458916,140.5769231,65.30769231,20.46153846,218.3084416,163.8668831,89.95779221
2,2,Heavy Rain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://media.rawg.io/media/games/0af/0af85e8edddfa55368e47c539914a220.jpg,0,"200,000 .. 500,000",1999,5820,0.825257732,2,192.5729167,172.4375,128.5364583,33.92931034,28.5862069,23.02586207,141.1969112,122.7413127,86.52895753,3.697745013,3.258889853,2.798785776,86.73003802,73.89353612,52.43346008
3,3,Viscera Cleanup Detail: Shadow Warrior,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://media.rawg.io/media/screenshots/f2f/f2f3c93d6153da7aee590f3ab8ccd803.jpg,4,"500,000 .. 1,000,000",3999,3677,0.802828393,9,168.1844106,92.01520913,70.96958175,248.3914807,211.1967546,168.6044625,44.69702128,32.94382979,38.46468085,235.745614,137.5811404,94.77850877,103.0021053,60.66736842,54.35263158
4,4,Rayman Legends,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,https://media.rawg.io/media/games/85c/85c8ae70e7cdf0105f06ef6bdce63b8b.jpg,2,"200,000 .. 500,000",2999,5539,0.91135584,8,238.0138067,174.6903353,41.81065089,38.98252826,33.93833505,27.97430627,166.3658537,208.5480631,159.4605452,165.0791209,53.8043956,30.85714286,44.5785124,132.4731405,105.4566116
5,5,Batman: Arkham City,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,https://media.rawg.io/media/games/b5a/b5a1226bfd971284a735a4a0969086b3.jpg,3,"20,000 .. 50,000",1999,1968,0.987296748,10,146.358209,146.0721393,146.0746269,250.1559239,250.1559239,250.1559239,14.70814815,14.70814815,14.70814815,208.7578397,208.5940767,208.6080139,79.14375,78.609375,78.628125
7,7,Grim Fandango Remastered,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,https://media.rawg.io/media/games/df2/df20fd77db56ae7b0a26a7ff4baa9ccc.jpg,3,"200,000 .. 500,000",1499,6307,0.904709053,1,47.57276368,36.51802403,23.19492657,206.4653465,183.1559406,153.9319307,118.4088146,91.69300912,57.90121581,172.9621904,139.8357236,98.00521512,235.5372168,225.9466019,214.1537217
8,8,Fallout 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://media.rawg.io/media/games/5a4/5a4e70bb8a862829dbaa398aa5f66afc.jpg,4,"500,000 .. 1,000,000",999,16875,0.787911111,10,237.6679389,240.7557252,227.8358779,13.48235914,13.71932596,11.23486045,101.3108808,105.4792746,90.16062176,45.28301887,47.88176101,39.16477987,167.9728682,174.7674419,150.748062
9,9,The Witness,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,https://media.rawg.io/media/screenshots/9d2/9d22689a1c2a7ced9d1690e0c5c66871.jpg,0,"500,000 .. 1,000,000",3999,13362,0.853240533,1,101.7790698,39.54651163,7.517889088,132.5884956,94.23451327,53.45353982,178.5730897,79.42857143,6.67192691,221.7237687,124.8800857,19.75374732,124.0947075,158.7381616,167.2841226
10,10,Syberia,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg,3,"500,000 .. 1,000,000",1299,4357,0.887307781,5,229.4987864,227.1480583,226.9053398,158.9901768,150.7210216,151.8683694,195.3486683,187.9261501,185.4769976,114.526776,112.2666667,120.2065574,82.00570342,81.14068441,92.22243346
11,11,Beyond: Two Souls,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://media.rawg.io/media/games/07a/07a74470a2618fd71945db0619602baf.jpg,4,"500,000 .. 1,000,000",1999,11329,0.892046959,10,201.5526316,221.4962406,235.5056391,18.6746988,14.71296953,22.37987243,108.5878136,162.8028674,200.7562724,159.0435644,127.7663366,134.3405941,86.50515464,68.80297824,89.85796105
12,12,What Remains of Edith Finch,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,https://media.rawg.io/media/games/34e/34e100b1f648de99f32d477065f04653.jpg,3,"500,000 .. 1,000,000",1999,24333,0.95446513,4,56.42376682,45.11659193,44.35426009,161.8527778,158.9,152.4777778,14.76094276,11.82424242,13.46868687,201.0578358,184.3768657,156.108209,103.6440678,106.8232446,111.0581114
